,before,date,effect,forecast,reality,state,time,title
196,-62.4,2013-05-22,美元|金银 石油|,-100,-33.8,美国,22:30,当周EIA原油库存(万)
197,23,2013-05-15,金银 石油|美元|,45,-62.4,美国,22:30,当周EIA原油库存(万)
198,6.696,2013-05-08,美元|金银 石油|,2,23,美国,22:30,当周EIA原油库存(百万)
199,94.7,2013-05-01,美元|金银 石油|,1.1,6.696,美国,22:30,当周EIA原油库存(万)
200,-1.233,2013-04-24,美元|金银 石油|,2,94.7,美国,22:30,当周EIA原油库存(百万)
201,25,2013-04-17,金银 石油|美元|,1.2,-1.233,美国,22:30,当周EIA原油库存(万)
202,2.707,2013-04-10,美元|金银 石油|,1.5,25,美国,22:30,当周EIA原油库存(百万)
203,3.256,2013-04-03,美元|金银 石油|,2.05,2.707,美国,22:30,当周EIA原油库存(百万)
204,-1.314,2013-03-27,美元|金银 石油|,1.325,3.256,美国,22:30,当周EIA原油库存(百万)
205,2.624,2013-03-20,金银 石油|美元|,2,-1.314,美国,22:30,当周EIA原油库存(百万)
206,3.833,2013-03-13,美元|金银 石油|,2.3,2.624,美国,22:30,当周EIA原油库存(百万)
207,1.13,2013-03-06,金银 石油|美元|,78.8,3.833,美国,23:30,当周EIA原油库存(百万)
208,4.143,2013-02-27,金银 石油|美元|,2.5,1.13,美国,23:30,当周EIA原油库存(百万)
209,56,2013-02-22,美元|金银 石油|,2,4.143,美国,00:00,当周EIA原油库存(万)
210,2.623,2013-02-13,美元|金银 石油|,2.2,56,美国,23:30,当周EIA原油库存(百万)
211,5.947,2013-02-06,金银 石油|美元|,2.65,2.623,美国,23:30,当周EIA原油库存(百万)
212,2.813,2013-01-30,美元|金银 石油|,2.5,5.947,美国,23:30,当周EIA原油库存(百万)
213,-95.1,2013-01-25,美元|金银 石油|,2.15,2.813,美国,00:00,当周EIA原油库存(万)
214,1.314,2013-01-16,金银 石油|美元|,2.2,-95.1,美国,23:30,当周EIA原油库存(百万)
215,-11.12,2013-01-09,金银 石油|美元|,2,1.314,美国,23:30,当周EIA原油库存(百万)
216,-58.6,2013-01-05,美元|金银 石油|,-100,-11.12,美国,00:00,当周EIA原油库存(万)
217,-96.4,2012-12-29,金银 石油|美元|,-1.75,-58.6,美国,00:00,当周EIA原油库存(万)
218,84.3,2012-12-19,金银 石油|美元|,-1.75,-96.4,美国,23:30,当周EIA原油库存(万)
219,-2.357,2012-12-12,美元|金银 石油|,-2.5,84.3,美国,23:30,当周EIA原油库存(百万)
220,-34.7,2012-12-05,美元|金银 石油|,-50,-2.357,美国,23:30,当周EIA原油库存(万)
221,-1.466,2012-11-28,金银 石油|美元|,35,-34.7,美国,23:30,当周EIA原油库存(百万)
222,1.089,2012-11-21,金银 石油|美元|,100,-1.466,美国,23:30,当周EIA原油库存(百万)
223,1.766,2012-11-16,金银 石油|美元|,2.65,1.089,美国,00:00,当周EIA原油库存(百万)
224,-2.045,2012-11-07,金银 石油|美元|,2,1.766,美国,23:30,当周EIA原油库存(百万)
225,5.896,2012-11-01,金银 石油|美元|,1.8,-2.045,美国,23:00,当周EIA原油库存(百万)
226,2.86,2012-10-24,美元|金银 石油|,1.8,5.896,美国,22:30,当周EIA原油库存(百万)
227,1.672,2012-10-17,美元|金银 石油|,1.5,2.86,美国,22:30,当周EIA原油库存(百万)
228,-48.2,2012-10-11,美元|金银 石油|,1.5,1.672,美国,23:00,当周EIA原油库存(万)
229,-2.446,2012-10-03,金银 石油|美元|,1.5,-48.2,美国,22:30,当周EIA原油库存(百万)
230,8.534,2012-09-26,金银 石油|美元|,1.9,-2.446,美国,22:30,当周EIA原油库存(百万)
231,1.994,2012-09-19,金银 石油|美元|,100,8.534,美国,22:30,当周EIA原油库存(百万)
232,-7.426,2012-09-12,美元|金银 石油|,-2.9,1.994,美国,22:30,当周EIA原油库存(百万)
233,3.778,2012-09-06,金银 石油|美元|,-4.95,-7.426,美国,23:00,当周EIA原油库存(百万)
234,-5.412,2012-08-29,美元|金银 石油|,-1.75,3.778,美国,22:30,当周EIA原油库存(百万)
235,-3.699,2012-08-22,美元|金银 石油|,-25,-5.412,美国,22:30,当周EIA原油库存(百万)
236,-3.729,2012-08-15,金银 石油|美元|,-1.5,-3.699,美国,22:30,当周EIA原油库存(百万)
237,-6.522,2012-08-08,金银 石油|美元|,-1.55,-3.729,美国,22:30,当周EIA原油库存(百万)
238,2.717,2012-08-01,美元|金银 石油|,-100,-6.522,美国,22:30,当周EIA原油库存(百万)
239,-80.9,2012-07-25,美元|金银 石油|,-100,2.717,美国,22:30,当周EIA原油库存(万)
240,-4.696,2012-07-18,金银 石油|美元|,-1.3,-80.9,美国,22:30,当周EIA原油库存(百万)
241,-4.27,2012-07-11,金银 石油|美元|,-1.375,-4.696,美国,22:30,当周EIA原油库存(百万)
242,-13.3,2012-07-05,金银 石油|美元|,-2.3,-4.27,美国,23:00,当周EIA原油库存(万)
243,2.861,2012-06-27,金银 石油|美元|,-1.3,-13.3,美国,22:30,当周EIA原油库存(百万)
244,-19.1,2012-06-20,美元|金银 石油|,-1.3,2.861,美国,22:30,当周EIA原油库存(万)
245,-11.1,2012-06-13,金银 石油|美元|,-1.5,-19.1,美国,22:30,当周EIA原油库存(万)
246,2.213,2012-06-06,美元|金银 石油|,-50,-11.1,美国,22:30,当周EIA原油库存(百万)
247,88.3,2012-05-31,金银 石油|美元|,100,2.213,美国,23:00,当周EIA原油库存(万)
248,2.128,2012-05-23,美元|金银 石油|,1.65,88.3,美国,22:30,当周EIA原油库存(百万)
249,3.652,2012-05-16,美元|金银 石油|,1.75,2.128,美国,22:30,当周EIA原油库存(百万)
250,2.84,2012-05-09,美元|金银 石油|,2,3.652,美国,22:30,当周EIA原油库存(百万)
251,3.978,2012-05-02,美元|金银 石油|,2.5,2.84,美国,22:30,当周EIA原油库存(百万)
252,3.856,2012-04-25,美元|金银 石油|,2.8,3.978,美国,22:30,当周EIA原油库存(百万)
253,2.791,2012-04-18,美元|金银 石油|,1.8,3.856,美国,22:30,当周EIA原油库存(百万)
254,9.009,2012-04-11,美元|金银 石油|,2,2.791,美国,22:30,当周EIA原油库存(百万)
255,7.102,2012-04-04,美元|金银 石油|,2.5,9.009,美国,22:30,当周EIA原油库存(百万)
256,-1.162,2012-03-28,美元|金银 石油|,2.55,7.102,美国,22:30,当周EIA原油库存(百万)
257,1.75,2012-03-21,金银 石油|美元|,2.2,-1.162,美国,22:30,当周EIA原油库存(百万)
258,83.2,2012-03-14,美元|金银 石油|,1.6,1.75,美国,22:30,当周EIA原油库存(万)
259,4.16,2012-03-07,美元|金银 石油|,1.5,83.2,美国,23:30,当周EIA原油库存(百万)
260,1.633,2012-02-29,美元|金银 石油|,1.1,4.16,美国,23:30,当周EIA原油库存(百万)
261,-17.1,2012-02-24,美元|金银 石油|,1.35,1.633,美国,00:00,当周EIA原油库存(万)
262,30.4,2012-02-15,金银 石油|美元|,1.5,-17.1,美国,23:30,当周EIA原油库存(万)
263,4.175,2012-02-08,美元|金银 石油|,2.5,30.4,美国,23:30,当周EIA原油库存(百万)
264,3.558,2012-02-01,美元|金银 石油|,2.6,4.175,美国,23:30,当周EIA原油库存(百万)
265,-3.438,2012-01-25,美元|金银 石油|,1.45,3.558,美国,23:30,当周EIA原油库存(百万)
266,4.958,2012-01-20,金银 石油|美元|,3,-3.438,美国,00:00,当周EIA原油库存(百万)
267,2.209,2012-01-11,金银 石油|美元|,100,4.958,美国,23:30,当周EIA原油库存(百万)
268,3.899,2012-01-06,美元|金银 石油|,-100,2.209,美国,00:00,当周EIA原油库存(百万)
