,addtime,befores,content,country,forecast,id,importance,influence,nid,publish,publishtime,shorttime,time,type
136,1407940230,-175.6,美国8月8日当周EIA原油库存(万桶),美国,-205,137,3,利空,0,140.1,2017/03/01 23:30:00,14年8月13,2014年8月13日,1
137,1408545030,140.1,美国至8月15日当周EIA原油库存(万桶),美国,-175,138,3,利多,0,-447.4,2017/03/01 23:30:00,14年8月20,2014年8月20日,1
138,1409149830,-447.4,美国至8月22日当周EIA原油库存(万桶),美国,-250,139,3,利空,0,-207,2017/03/01 23:30:00,14年8月27,2014年8月27日,1
139,1409841030,-207,美国至8月29日当周EIA原油库存(万桶),美国,-100,140,3,利空,0,-90.5,2017/03/01 23:30:00,14年9月4,2014年9月4日,1
140,1410359430,-90.5,美国至9月5日当周EIA原油库存(万桶),美国,-150,141,3,利空,0,-97.2,2017/03/01 23:30:00,14年9月10,2014年9月10日,1
141,1410964230,-97.2,美国9月12日当周API原油库存(万桶),美国,-150,142,3,利空,0,367.3,2017/03/01 23:30:00,14年9月17,2014年9月17日,1
142,1411569030,367.3,美国至9月19日当周EIA原油库存(万桶),美国,75,143,3,利多,0,-427.3,2017/03/01 23:30:00,14年9月24,2014年9月24日,1
143,1412173830,-427.3,美国至9月26日当周EIA原油库存(万桶),美国,150,144,3,利多,0,-136.3,2017/03/01 23:30:00,14年10月1,2014年10月1日,1
144,1412778630,-136.3,美国至10月3日当周EIA原油库存(万桶),美国,200,145,3,利空,0,501.5,2017/03/01 23:30:00,14年10月8,2014年10月8日,1
145,1413469830,501.5,美国至10月11日当周EIA原油库存(万桶),美国,245,146,3,利空,0,892.3,2017/03/01 23:30:00,14年10月16,2014年10月16日,1
146,1413988230,892.3,美国至10月17日当周EIA原油库存(万桶),美国,300,147,3,利空,0,711.1,2017/03/01 23:30:00,14年10月22,2014年10月22日,1
147,1414593030,711.1,美国至10月24日当周EIA原油库存(万桶),美国,365,148,3,利多,0,206.1,2017/03/01 23:30:00,14年10月29,2014年10月29日,1
148,1415197830,206.1,美国至10月31日当周EIA原油库存(万桶),美国,235,149,3,利多,0,46,2017/03/01 23:30:00,14年11月5,2014年11月5日,1
149,1415975430,46,美国至11月7日当周EIA原油库存(万桶),美国,105,150,3,利多,0,-173.5,2017/03/01 23:30:00,14年11月14,2014年11月14日,1
150,1416407430,-173.5,美国11月14日当周EIA原油库存(万桶),美国,-150,151,3,利空,0,260.8,2017/03/01 23:30:00,14年11月19,2014年11月19日,1
151,1417012230,260.8,美国至11月22日当周EIA原油库存(万桶),美国,25,152,3,利空,0,194.6,2017/03/01 23:30:00,14年11月26,2014年11月26日,1
152,1417617030,194.6,美国至11月28日当周EIA原油库存(万桶),美国,175,153,3,利多,0,-368.9,2017/03/01 23:30:00,14年12月3,2014年12月3日,1
153,1418221830,-368.9,美国至12月5日当周EIA原油库存(万桶),美国,-270,154,3,利空,0,145.4,2017/03/01 23:30:00,14年12月10,2014年12月10日,1
154,1418826630,145.4,美国至12月12日当周EIA原油库存(万桶),美国,-225,155,3,利空,0,-84.7,2017/03/01 23:30:00,14年12月17,2014年12月17日,1
155,1419431430,-84.7,美国至12月20日当周EIA原油库存(万桶),美国,-250,156,3,利空,0,726.7,2017/03/01 23:30:00,14年12月24,2014年12月24日,1
156,1420036230,726.7,美国至12月27日当周EIA原油库存(万桶),美国,90,157,3,利多,0,-175.4,2017/03/01 23:30:00,14年12月31,2014年12月31日,1
157,1420641030,-175.4,美国至1月2日当周EIA原油库存(万桶),美国,70,158,3,利多,0,-306.2,2017/03/01 23:30:00,15年1月7,2015年1月7日,1
158,1421245830,-306.2,美国至1月9日当周EIA原油库存(万桶),美国,175,159,3,利空,0,538.9,2017/03/01 23:30:00,15年1月14,2015年1月14日,1
159,1422023430,538.9,美国至1月16日当周EIA原油库存(万桶),美国,270,160,3,利空,0,1007.1,2017/03/01 23:30:00,15年1月23,2015年1月23日,1
160,1422455430,1007.1,美国至1月25日当周EIA原油库存(万桶),美国,385,161,3,利空,0,887.4,2017/03/01 23:30:00,15年1月28,2015年1月28日,1
161,1423060230,887.4,美国1月30日当周EIA原油库存(万桶),美国,325,162,3,利空,0,633.3,2017/03/01 23:30:00,15年2月4,2015年2月4日,1
162,1423665030,633.3,美国至2月6日当周EIA原油库存(万桶),美国,375,163,3,利空,0,486.8,2017/03/01 23:30:00,15年2月11,2015年2月11日,1
163,1424442630,486.8,美国至2月13日当周EIA原油库存(万桶),美国,300,164,3,利空,0,771.6,2017/03/01 23:30:00,15年2月20,2015年2月20日,1
164,1424874630,771.6,美国至2月21日当周EIA原油库存(万桶),美国,400,165,3,利空,0,842.7,2017/03/01 23:30:00,15年2月25,2015年2月25日,1
165,1425479430,842.7,美国至2月28日当周EIA原油库存(万桶),美国,395,166,3,利空,0,1030.3,2017/03/01 23:30:00,15年3月4,2015年3月4日,1
166,1426084230,1030.3,美国至3月7日当周EIA原油库存(万桶),美国,475,167,3,利多,0,451.2,2017/03/01 23:30:00,15年3月11,2015年3月11日,1
167,1426689030,451.2,美国至3月14日当周EIA原油库存(万桶),美国,440,168,3,利空,0,962.2,2017/03/01 23:30:00,15年3月18,2015年3月18日,1
168,1427293830,962.2,美国至3月21日当周EIA原油库存(万桶),美国,475,169,3,利空,0,817,2017/03/01 23:30:00,15年3月25,2015年3月25日,1
169,1427898630,817,美国至3月27日当周EIA原油库存(万桶),美国,420,170,3,利空,0,476.6,2017/03/01 23:30:00,15年4月1,2015年4月1日,1
170,1428503430,476.6,美国至4月4日当周EIA原油库存(万桶),美国,325,171,3,利空,0,1094.9,2017/03/01 23:30:00,15年4月8,2015年4月8日,1
171,1429108230,1094.9,美国至4月11日当周EIA原油库存(万桶),美国,360,172,3,利多,0,129.4,2017/03/01 23:30:00,15年4月15,2015年4月15日,1
172,1429713030,129.4,美国至4月18日当周EIA原油库存(万桶),美国,320,173,3,利空,0,531.5,2017/03/01 23:30:00,15年4月22,2015年4月22日,1
